,dataset,kecamatan,gender,latitude,longitude,panjang,lebar,ac,air_panas,bak_mandi,bantal,bathtub,cctv,cermin,cleaning_service,dapur,dispenser,ember_mandi,guling,jemuran,kamar_mandi_dalam,kamar_mandi_luar,kartu_akses,kasur,kipas_angin,kloset_duduk,kloset_jongkok,kulkas,kursi,laundry,lemari_baju,locker,meja,meja_makan,microwave,mushola,parkir_mobil,parkir_motor,parkir_sepeda,penjaga_kos,rice_cooker,ruang_santai,shower,sofa,taman,termasuk_listrik,tv,wastafel,wifi,harga,luas,kategori_harga,total_facilities,jumlah_fasilitas_premium,jumlah_fasilitas_non_premium,jumlah_fasilitas_netral,luas_m2
602,telkom,dayeuhkolot,Kos Putri,-6.9772484508336,107.63353943333,3.0,3.0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1300000,9.0,Medium,23,7,4,12,9.0
603,telkom,bojongsoang,Kos Putra,-6.9738063627283,107.63428039849,3.0,4.0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,550000,12.0,Low,13,0,7,6,12.0
604,telkom,dayeuhkolot,Kos Putri,-6.977537,107.631867,3.0,4.0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1000000,12.0,Low,16,3,4,9,12.0
605,telkom,bojongsoang,Kos Putra,-6.9707682611656,107.63590045273,3.0,6.0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,830000,18.0,Low,10,1,5,4,18.0
606,telkom,bandung kidul,Kos Campur,-6.957685,107.624921,5.5,5.0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,2650000,27.5,High,24,10,3,11,27.5
607,telkom,bojongsoang,Kos Putri,-6.979286,107.637185,3.0,3.0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1750000,9.0,Medium,17,8,2,7,9.0
608,telkom,dayeuhkolot,Kos Putra,-6.9792967935778,107.62808717787,3.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,850000,12.0,Low,8,4,1,3,12.0
609,telkom,dayeuhkolot,Kos Putri,-6.968409,107.63478,2.2,4.0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1650000,8.8,Medium,22,9,2,11,8.8
610,telkom,bandung kidul,Kos Campur,-6.9627021707085,107.64341332018,4.0,15.0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2000000,60.0,Medium,13,5,2,6,60.0
611,telkom,bandung kidul,Kos Campur,-6.9626474,107.6432887,7.0,4.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2000000,28.0,Medium,13,8,1,4,28.0
